Авангард;http://www.avangard.ru/;none;78-18-18;308015, г.Белгород, ул. Гостенская, д. 2А
Альфа-Банк;http://www.alfabank.ru/;//td[@id='USDnoncashBuy'];32-25-62;308000, г. Белгород, пр-т Славы, 68
Банк Москвы;http://www.bm.ru/;//div[@id='prices']/div[2]/span;20-02-52, 20-02-50, 20-02-55;308000, г. Белгород, ул. Н. Островского, 22
Банк Россия;http://abr.ru/belgorod/;//div[@id='cr']/p[3]/u;35-65-25;308000, г. Белгород, пр-т Славы, 41
Белгородпромстройбанк;http://www.bpsb.ru/;//html/body/div[3]/table/tr/td[1]/div[15]/div[1]/table/tr/td[1];32-20-21, 32-72-58;308000, г. Белгород, бульвар Народный, 79
Белгородсоцбанк;http://www.belsocbank.ru/;//html/body/table/tr/td/table/tr/td/table[4]/tr[1]/td[1]/table/tr[3]/td[2];35-30-79, 32-22-08;308000, г.Белгород, Белгородский проспект, 73
Восточный экспресс;http://www.express-bank.ru/belgorod/;//div[@id='block-orient_currency-0']/div/div/div/div[@class='box']/table/tbody/tr/td[2];8-800-100-7-100;г. Белгород, ул. Губкина, 17в
Всероссийский банк развития регионов;http://www.vbrr.ru/;none;27-54-30, 27-62-92;308001, Белгород, ул. Белгородского полка, 50
ВТБ;http://www.vtb.ru/;none;58-03-00, 58-03-30, 33-73-18;308000, г.Белгород, пр. Славы, 35а
ВТБ 24;http://vtb24.ru/personal/Pages/belgorod.aspx#;//div[@id='ctl00_MSO_ContentDiv']/div[@class='w1']/div[@class='wrapper_all s4-ca']/div[@class='curs_valut']/div[@class='tabsojt']/div[@class='tabs_content']/div/div[1]/div/table/tbody/tr[2]/td[2];30-50-11, 30-50-12, 30-50-09;308033, г. Белгород, пр-т Ватутина, 8а
Вэлтон Банк;http://www.veltonbank.ru/;//div[@id='license1']/table/tr[2]/td[2];58-98-67, 58-98-68;308600, г. Белгород, пр. Б. Хмельницкого, д. 20 / 22
Газпромбанк;http://www.gazprombank.ru/personal/;//html/body/div[2]/div[2]/div[3]/div[2]/div[2]/div[6]/span;58-82-92;г. Белгород, ул. Костюкова, 36г
Европейский трастовый банк;http://www.eurotrust.ru/;none;31-80-84;г. Белгород, пр-т Б. Хмельницкого, 133в
Инвестбанк;http://www.investbank.ru/;none;20-14-19, 8-800-200-70-71;308600 г. Белгород, ул. 50-летия Белгородской области, 10
Инвестторгбанк;http://www.itb.ru/;//table[@id='tbl-course-private']/tr[2]/td[2]/span;78-61-76, 78-61-55;308012, г. Белгород, ул. Костюкова, 36Д
Кредит-Москва;http://www.cmbank.ru/;//td[@id='td_right_content']/table[2]/tr[1]/td/div/table/tr[2]/td[2];33-32-22;308017, г. Белгород, ул.Белгородского полка, 42
КУРСКПРОМБАНК;http://www.kurskprombank.ru/;//td[@id='tdCurrates']/table[@class='tblCurratesBody']/tr[2]/td[2];27-36-67, 27-39-15;308000, г. Белгород, пр-т Славы, 34
Липецккомбанк;http://www.kombank.ru/;//html/body/div[2]/table[@class='content_tbl']/tbody/tr/td/table[@class='main_tbl']/tbody/tr/td[3]/div[@class='money_course rc7']/div[1]/table/tbody/tr[4]/td[2];(4725) 44-27-00;г. Старый Оскол, пр. Комсомольский. д. 71
